id,name,features
85560,S******** H**** K*********,3|Kotamobagu|Hotel|Kotamobagu
75990,S***** H**** B******,4|Bandung|Hotel|Gede Bage
75745,R******* n*** T**** S***** M*** 2,2|Bandung|Hotel|Bandung
78420,S*** H**** C*** I** S***,3|Solo City|Hotel|Pasar Kliwon
78536,R******* n*** S******* L***,2|Magetan|Bed & breakfast|Magetan
80258,A*** P******* A***** P***********,0|Palangkaraya|Hotel|Palangkaraya
81390,O** 3*** L****** R*********,2|Bali|Hotel|Canggu
81538,K***** P*****,3|Bali|Resort|Legian
84447,T**** H****,0|Paser|Hotel|Paser
84596,U******** H**** T** T*** B********* by R*******,3|Balikpapan|Hotel|Batu Ampar
76691,S********* V**** & R**** By Z***,1|Magelang|Hotel|Magelang
71245,S****** H**** G***** T**,3|Padang Sidempuan|Hotel|Padang Sidempuan
76045,K**** M**** S*******,1|Garut|Hotel|Samarang
73173,H******* H**** a** S**** P**** (******** B*** W****** H********,4|Jakarta|Hotel|Pluit/Pantai Indah Kapuk - North Jakarta
73312,T** S***** H****,4|Bogor|Hotel|Tanah Sareal
73491,T*** M****** S****** n*** B***** R*********,1|Jakarta|Hotel|Tanah Abang - Central Jakarta
79018,O** 9**** T****** H*******,2|Malang|Hotel|Malang city
79514,C****** I** S*******,2|Sidoarjo|Hotel|Sidoarjo
69955,H**** A*****,0|Kalimantan|Hotel|Kalimantan
76099,O** 9**** Ar 20 G**** H**** S******,2|Majalengka|Bed & breakfast|Majalengka
82793,B*** T***** R***** a** S**,5|Bali|Hotel|Nusa Dua
82029,G*** B**** I** By Z***,2|Bali|Hotel|Kuta
79773,H**** K******* D******* R***,2|Surabaya|Hotel|Pabean Cantian
78821,C** R***,2|Batu|Guest House|Batu
78617,A****** H**** P******** B**,3|Pangkalan Bun|Hotel|Arut Selatan
84699,O** 3*** R*** R******** S******,2|Samarinda|Hotel|Samarinda
75290,C****** H****,0|Bandung|Hotel|Sukajadi
83178,S** P**** R***** a** V****,3|Bali|Hotel|Sanur
77084,R**** M******** By A****,4|Yogyakarta|Hotel|Pasar Kembang
82671,T** R*** G***** B** & B********,3|Bali|Hotel|Denpasar Selatan
81135,K******** B***,3|Bali|Hotel|Kuta
76010,R******* S****** n*** M***** W**** K**** S*****,2|Subang|Hotel|Kota Subang
74520,B*** H******* P***** R*********,2|Bogor|Hotel|Bogor
69616,G**** A***** B******* V***** a** S**,4|Bali|Hotel|Denpasar
80409,O** 1*** H**** M****** P********,2|Banyuwangi|Hotel|Kalipuro
72148,O** 3** M**** R******** P******** I,2|Palembang|Hostel/Backpacker accommodation|Ilir Barat
73237,R**** H**** B****,4|Bogor|Hotel|City Center
70135,P******* H****,3|Palopo|Hotel|Palopo
80513,A*** P****** B*** A**** Y*** 2 B**********,0|Banjarmasin|Hotel|Banjarmasin
78004,M**** H**** S*******,2|Semarang|Hotel|Simpang Lima
82485,B**** D*** H******* J*******,3|Bali|Hotel|JImbaran
77094,W*** H**** M******** Y*********,2|Yogyakarta|Hotel|Malioboro Street
76420,P**** T**** by H******,3|Tegal|Hotel|Kota Tegal
72722,R******* n*** S***** K******* 2,2|Tangerang|Guest House|Tangerang
71081,O** 1*** C****** H******* S******,2|Medan|Hotel|Medan
79290,R**** T***** V*** H**** a** C*********,3|Tretes|Hotel|Prigen
74245,T** G**** M****** M******,5|Jakarta|Hotel|Menteng
77843,O** 5** N***** P***** G**** H****,2|Yogyakarta|Hostel/Backpacker accommodation|Depok
82022,J******* A******* V****,4|Bali|Hotel|JImbaran
71689,O** 2*** S****** G**** H****,2|Lubuk Linggau|Hotel|Lubuklinggau Timur
