id,name,features
70001,H*** S*** M****** K*****,0|Kupang|Hotel|Kupang city
70002,A***** K**** B****,0|Kutai|Hotel|Kutai
70003,P********* S*****,3|Kutai|Hotel|Kutai
70004,S**** M**** H****,3|Kutai|Hotel|Kutai
70005,H**** L***** K**** B****,0|Kutai|Hotel|Kutai
70006,P********* H********,0|Kutai|Hotel|Kutai
70007,H**** P**** M***,0|Kutai|Hotel|Kutai
70008,M*** K*****,0|Labuan Bajo|Hotel|Labuan Bajo
70009,W******* H****,2|Labuan Bajo|Hotel|Labuan Bajo
70010,H**** F******* A*** B***,0|Labuan Bajo|Hotel|Labuan Bajo
70011,F******* B***,3|Labuan Bajo|Hotel|Labuan Bajo
70012,H****** k***** h****,4|Labuan Bajo|Hotel|Labuan Bajo
70013,H**** G**** S***,0|Labuhanbatu|Hotel|Labuhanbatu
70014,H**** S***** P****,0|Labuhanbatu|Hotel|Labuhanbatu
70015,N***** H**** R***********,0|Labuhanbatu|Hotel|Labuhanbatu
70016,P******* H**** R***********,0|Labuhanbatu|Hotel|Labuhanbatu
70017,F******* H**** H****,3|Lamongan|Hotel|Lamongan
70018,H**** E******,1|Lamongan|Hotel|Lamongan
70019,H**** K****** L*****,0|Langsa|Hotel|Langsa
70020,A** H**** & R*********,0|Larantuka|Hotel|Larantuka
70021,W***** H**** L**********,0|Lhokseumawe|Hotel|Lhokseumawe
70022,H**** D**** L**********,0|Lhokseumawe|Hotel|Lhokseumawe
70023,g**** s***** h****,2|Lhokseumawe|Hotel|Lhokseumawe
70024,H**** S********,0|Lhokseumawe|Hotel|Lhokseumawe
70025,P***** S****,4|Lombok|Hotel|Lombok
70026,T**** C******,0|Lombok|Hotel|Lombok Tengah
70027,P***** R******,0|Lombok|Hotel|Lombok Timur
70028,F***** I** H***********,0|Lubuk Linggau|Hotel|Lubuk Linggau
70029,G**** M*** H***** R**** & H*** L*******,0|Lumajang|Hotel|Lumajang
70030,H**** L******,2|Luwuk|Hotel|Luwuk
70031,H**** I**** L****,0|Luwuk|Hotel|Luwuk
70032,K*** H**** L****,0|Luwuk|Hotel|Luwuk
70033,T****** H****,0|Madiun|Hotel|Madiun
70034,K****** H**** & C***,2|Magelang|Hotel|Magelang
70035,F**** K***** H*******,2|Magelang|Hotel|Magelang
70036,B**** B****** H****,4|Magetan|Hotel|Magetan
70037,A*** H****,2|Majalengka|Hotel|Majalengka
70038,H**** S**********,0|Majalengka|Hotel|Majalengka
70039,V**** B**** L****,0|Majene|Hotel|Majene
