id,name,features
71862,J*** K*** R*********,1|Batam|Hotel|Lubuk Baja
71867,Z*** H**** H****** B** B****,3|Batam|Hotel|Batu Ampar
71879,O** 1*** N** S*** H****,2|Batam|Hostel/Backpacker accommodation|Batu Ampar
71887,C**** I**,2|Batam|Hotel|Nagoya
71897,A*** E** N***** K****** B*** I**** B*** T*** 20 B****,0|Batam|Hotel|Batam
71907,H****** H****,3|Batam|Hotel|Nagoya
71938,C**** V**** B****,4|Batam|Hotel|Nagoya
71939,A***** N***** H***,2|Batam|Hotel|Lubuk Baja
71960,B****** H**** B****,4|Batam|Hotel|Lubuk Baja
71985,T** C***** H**** a** R******** by O******* B****,3|Batam|Hotel|Batam City
72005,S******** - P**** G*****,1|Batam|Guest House|Batam Center
72009,S**** O** C****** O 1*** K*** G**** H****,2|Batam|Hotel|Batam City
72012,G******** H**** B****,2|Batam|Hotel|Batam City
72013,C****** O 1*** B**** H****,2|Batam|Hotel|Batam Center
72021,O** 7** N**** I***** R*****,2|Batam|Hotel|Batam Center
72025,S******** - D****** P*****,1|Batam|Villa|Batam Center
72030,S*** ON 2*** Z***** H*******,2|Batam|Hostel/Backpacker accommodation|Batam City
72046,O** 9**** Fj A******* K***,2|Prabumulih|Bed & breakfast|Prabumulih
72091,O** 1*** P**** H**** T****** P*****,2|Tanjungpinang|Bed & breakfast|Tanjung Pinang
72110,B***** P**** B**** R*****,3|Bintan|Hotel|Teluk Bakau
72114,R**** H**** P********,3|Palembang|Hotel|Sukarami
72121,O** 9** P********* T****,2|Palembang|Hostel/Backpacker accommodation|Sukarami
72134,T****** H******* B******,4|Palembang|Villa|Palembang
72139,R******* n*** T**** W***** A*** P**** K*** P******** 2,2|Palembang|Hotel|Palembang
72145,O** 9**** W**** K******,2|Palembang|Bed & breakfast|Palembang
72148,O** 3** M**** R******** P******** I,2|Palembang|Hostel/Backpacker accommodation|Ilir Barat
72149,R******* @ J**** W******* P****,1|Palembang|Hotel|Ilir Barat 1
72186,S*** H**** M** To U P********,3|Palembang|Hotel|Sukarami
72192,AA R********* P******** S****** R*********,2|Palembang|Hotel|Sukarami
72203,R******* S****** n*** R*** S*** F****** P********,2|Palembang|Hotel|Ilir Timur I
72204,R******* N*** P******** T**** C***** 3,2|Palembang|Hotel|Kemuning
72228,R******* P*** n*** RS RK C******* 2 P********,3|Palembang|Hotel|Ilir Barat
72236,A*** P****** S** P******* J****** S******* 1** P********,0|Palembang|Hotel|Palembang
72265,R******* n*** P******** T**** C***** 4,2|Palembang|Hotel|Palembang
72300,T** A*** H****,5|Palembang|Hotel|Ilir Timur II
72310,R******* n*** J**** MP M*********** P********,1|Palembang|Hotel|Ilir Timur II
72347,U******** H**** P***** I**** P********,3|Bandar Lampung|Hotel|Pringsewu
72358,R******* n*** R**** I**** A****** L****** 2,2|Bandar Lampung|Hotel|City Center
72385,H******* R********,3|Bandar Lampung|Hotel|Lampung
72402,R******* P*** @ J**** P. E*** M** N*** L******,3|Bandar Lampung|Hotel|City Center
72426,S******* L******,4|Bandar Lampung|Hotel|City Center
72462,O** 2*** W**** L*** T****,2|Bandar Lampung|Hotel|Kedaton
72479,U******** H**** B****** GH S****** L******,2|Bandar Lampung|Hotel|Teluk Betung
72494,R******* S****** @ G**** S****** L******,2|Bandar Lampung|Hotel|Lampung
72497,R******* n*** J**** P******* K********** L******,2|Bandar Lampung|Hotel|City Center
72503,R******* @ J**** H**** W**** L****** 2,2|Bandar Lampung|Guest House|Kedamaian
72510,R******* S****** @ J**** P******* A******* 4,2|Bandar Lampung|Hotel|City Center
72532,C******** S******,2|Bandar Lampung|Hotel|City Center
72534,A** G********* R********* L******,1|Bandar Lampung|Bed & breakfast|Bandar Jaya
72537,R******* S****** @ J**** E**** S******* L******,3|Bandar Lampung|Hotel|Sukarame
72547,A**** G***** H****,1|Bandar Lampung|Hotel|City Center
72559,W**** B******* K*******,2|Bandar Lampung|Hotel|kalianda
72568,O** 2*** T** C****** H******* S******,2|Pandeglang|Hotel|Pandeglang City Center
72577,O** 1*** C***** A*** V***** & R*****,2|Tangerang|Bed & breakfast|Benda
72578,S*** ON 2*** H**** C**** A**,2|Pandeglang|Hotel|Pandeglang City Center
72580,D***** G R***** A****,3|Anyer|Hotel|Cinangka
72596,N***** B*** A****,3|Anyer|Hotel|Anyer
72629,G**** P***** L****** B*****,3|Bangka|Hotel|City Center
72644,G**** S***** H**** P************,3|Bangka|Hotel|City Center
72646,P**** B**** R***** a** S** B*****,4|Bangka|Hotel|Sungailiat
72652,R******* n*** A*** A*** K*** S*****,2|Serang|Hotel|City Centre
72654,A*** P****** P***** A********* 1 B*****,0|Bangka|Hotel|Bangka
72667,T****** P***** B**** R***** a** S**,3|Bangka|Hotel|Sungailiat
72672,M**** G**** H****,2|Serang|Hotel|Serang
72693,O** 1*** H******* C*** D***** S******,2|Sukabumi|Hotel|Pelabuhan Ratu
72714,K***** S***,1|Sukabumi|Hotel|Sukabumi
72736,R******* n*** S***** K*******,2|Tangerang|Guest House|Tangerang
72753,3J L***** L**** K*******,2|Tangerang|Hotel|Serpong
72758,A******* L**** V******,4|Tangerang|Hotel|Karawaci
72775,Q***** B******* H****,3|Tangerang|Hotel|Gading Serpong
72781,O** 3*** S******* D******** S******,2|Tangerang|Hotel|Gading Serpong
72786,R******* S****** P*** @ W**** B********** K*******,3|Tangerang|Hotel|Gading Serpong
72788,J** S******** G***** S******,5|Tangerang|Hotel|Serpong
72801,S*** ON 9**** Jr R***,2|Tangerang|Bed & breakfast|Bintaro
72819,77 G**** H**** S******,2|Tangerang|Bed & breakfast|Alam Sutera
72825,Z** R**** S*********,0|Jakarta|Hotel|Jakarta
72840,B****** P******* A******** By Z***,3|Tangerang|Hotel|Tangerang
72856,D*** H**** & S***** by W****** J****** A******,3|Tangerang|Hotel|Bandara
72872,M****** S***** n*** S******* H**** A****** R*********,1|Tangerang|Hotel|Bandara
72877,S*** ON 9**** G***** B*** R******** S******,2|Tangerang|Bed & breakfast|Benda
72901,De S**** H******* G***** S**** R*********,1|Bogor|Hotel|Bogor
72916,R******** A******** 19 A***** - R*** P*******,2|Banten|Hotel|Banten
72939,d*********** A****** J****** 1 H****,2|Tangerang|Hotel|Benda
72945,U**** E****** H***** S******,2|Tangerang|Hostel/Backpacker accommodation|Serpong
72949,S***** P******* E*** By Z***,3|Tangerang|Bed & breakfast|Bintaro
72956,P******* M****** A******** by G******* P** By Z***,1|Jakarta|Hotel|Kalideres
72966,S***** B******,2|Tangerang|Hotel|Tangerang
72985,C****** H**** C*********,2|Jakarta|Hotel|West Jakarta
72987,R******* n*** U********** P*******,2|Tangerang|Hotel|Ciputat
72999,A******** C*** P*** T**** H** P****** R**** R*********,2|Jakarta|Hotel|Cengkareng - West Jakarta
73016,O** 3*** S**** H******* S******,2|Bogor|Hotel|Bogor
73024,S******** J****** P** A*****,5|Jakarta|Hotel|North Jakarta
73034,O** 4*** 58 G*********,2|Tangerang|Hotel|Bintaro
73045,O** F******* 7** B****** A********,2|Tangerang|Hotel|Alam Sutera
73056,B**** H**** P*** I****,3|Jakarta|Hotel|Puri Kembangan - West Jakarta
73061,R******* @ P***********,2|Jakarta|Guest House|Jakarta
73064,R******* n*** T******* B****** B****,1|Bogor|Hotel|Bogor
73103,Z** R**** K********* S******,2|Jakarta|Guest House|Jakarta
73107,R******* at P***** I**** 2,2|Jakarta|Hotel|Jakarta
73109,R******* S****** @ C****** S*******,1|Sukabumi|Hotel|Sukabumi City Center
73117,R******* S****** @ C***** D****,2|Depok|Hotel|Margonda
73119,O** 9**** W**** T***** K********,2|Jakarta|Bed & breakfast|Kebayoran Lama
73158,F** L*** G***** J******,2|Jakarta|Hotel|Grogol/Roxy - West Jakarta
73177,R******* at A****** R**** D****,2|Jakarta|Hotel|Kebayoran Baru - South Jakarta
73183,O** 1*** T** T****,2|Jakarta|Hotel|Grogol/Roxy - West Jakarta
73189,M*** A******,3|Jakarta|Hotel|Grogol/Roxy - West Jakarta
73217,W**** J***** B**** R*********,1|Bogor|Hotel|Paledang
73230,Z** R**** P******* B****,2|Jakarta|Hotel|Central Jakarta
73274,T******** O** Jp H****,3|Jakarta|Bed & breakfast|Penjaringan
73282,F H**** J******,3|Jakarta|Hotel|Melawai - South Jakarta
73295,R******* @ P******* P**** 2,2|Jakarta|Hotel|Panglima Polim - South Jakarta
73299,W H*** C*****,3|Jakarta|Hotel|Cipete - South Jakarta
73314,O** 9**** S****** B**** V*****,2|Bogor|Bed & breakfast|Bogor
73351,R******* P*** @ C***** D****,3|Jakarta|Hotel|Kebayoran Baru - South Jakarta
73401,L******** K**** R*** B****,3|Bogor|Guest House|bogor tengah
73407,P***** G**** H**** J******,0|Jakarta|Bed & breakfast|Jakarta
73412,R******* @ P******* A******* 2,2|Jakarta|Hotel|Cipete - South Jakarta
73422,A*** B************ R*** 39 B****,0|Bogor|Hotel|Bogor
73451,R**** P********** H****,3|Bogor|Hotel|Bogor
73463,D**** I**,0|Bogor|Hotel|Bogor Timur
